address,appointed_actuary,category,contacts,insurer_email,insurer_name,leader_designation,leader_email,leader_name,registration_number,serial_no,source_url,website,website_url
"दूसरी मंजिल, #36/5, हसलहब वन ईस्ट, सोमसांद्रपाल्या, 27वीं मुख्य सड़क, सेक्टर 2, एचएसआर लेआउट, बेंगलुरु, कर्नाटक - 560102 2nd Floor, #36/5, Hustlehub One East, Somasandrapalya, 27th Main road, Sector 2, HSR Layout, Bengaluru, Karnataka - 560102",श्री राहुल खेतान / Mr. Rahul Khetan,general,फ़ोन / Phone: 022 62672525,,एको जनरल इंश्योरेंस लिमिटेड Acko General Insurance Limited,,,श्री अनिमेष कुमार दास Mr.Animesh Kumar Das,,1,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.acko.com,https://www.acko.com
"प्लेट बी एंड सी, 5वीं मंजिल, ब्लॉक 1, पूर्वी किदवई नगर, नई दिल्ली-110023 Plate B&C, 5th Floor, Block 1, East Kidwai Nagar, New Delhi-110023",श्री रोहित सिंघल Mr. Rohit Singhal,general,फ़ोन / Phone: 011-24600444,,एग्रीकल्चर इंश्योरेंस कंपनी ऑफ इंडिया लिमिटेड Agriculture Insurance Company of India Limited,,,डॉ. लावण्या आर. मुंडयूर Dr. Lavanya R. Mundayur,,2,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.aicofindia.com,https://www.aicofindia.com
"बजाज आलियांज हाउस, एयरपोर्ट रोड, यरवदा, पुणे, महाराष्ट्र, 411006 Bajaj Allianz House, Airport Road, Yerwada, Pune, Maharashtra, 411006",श्री गौरव मल्होत्रा Mr. Gaurav Malhotra,general,फ़ोन / Phone - (+91 20) 66026666,,बजाज जनरल इंश्योरेंस लिमिटेड Bajaj General Insurance Limited,,,श्री तपन सिंघल Mr. Tapan Singhel,,3,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.bajajgeneralinsurance.com/,https://www.bajajgeneralinsurance.com/
"डेयर हाउस, दूसरी मंजिल, एनएससी बोस रोड, पैरिस, चेन्नई-600001 Dare House, 2 nd Floor, NSC Bose Road, Parrys, Chennai-600001.",श्री अश्वनी कुमार अरोड़ा Mr. Ashwani Kumar Arora,general,044-40445400 / 044-40445550,,चोलामंडलम एमएस जनरल इंश्योरेंस कंपनी लिमिटेड Cholamandalam MS General Insurance Company Limited,,,श्री वेंकटेश्वरन सूर्यनारायणन Mr. Venkateswaran Suryanarayanan,,4,https://irdai.gov.in/list-of-general-insurers,वेब / Web:www.cholainsurance.com,https://www.cholainsurance.com
"ईसीजीसी भवन, सीटीएस नंबर 393,393/1 से 45, एम.वी रोड अंधेरी ईस्ट, मुंबई - 400069, महाराष्ट्र, भारत ECGC Bhawan, CTS No.393,393/1 to 45, M.V Road Andheri East, Mumbai – 400069, Maharashtra, India",सुश्री प्रिसिला सिन्हा Ms. Priscilla Sinha,general,फ़ोन / Phone: 022 66590 610 / 022 66590 510,,ईसीजीसी लिमिटेड ECGC Limited,,,श्री सृष्टिराज अम्बष्ठ (अतिरिक्त प्रभार) Mr. Sristiraj Ambastha (Additional Charge),,5,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.ecgc.in,https://www.ecgc.in
"यूनिट नंबर 801 और 802 8वीं मंजिल, टॉवर सी, दूतावास 247 पार्क एलबीएस मार्ग, विक्रोली (पश्चिम) मुंबई 400083 Unit number 801 & 802 8th floor, Tower C, Embassy 247 Park L.B.S Marg, Vikhroli (west) Mumbai 400083",श्री जतिन अरोड़ा Mr. Jatin Arora,general,फ़ोन / Phone : + 91- 022-40976601,,जेनरली सेंट्रल इंश्योरेंस कंपनी लिमिटेड Generali Central Insurance Company Limited,,,श्री अनुप राऊ Mr. Anup Rau,,6,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.generalicentralinsurance.com,https://www.generalicentralinsurance.com
"1 से 6 मंजिल, अनंत वन (एआर वन), प्राइड होटल लेन, नरवीर तानाजी वाडी, सिटी सर्वे नंबर 1579, शिवाजी नगर, पुणे-411005; 1 to 6 floors, Ananta One (AR One), Pride Hotel Lane, Narveer Tanaji Wadi, City Survey No.1579, Shivaji Nagar, Pune-411005;",श्री आदर्श किशोर अग्रवाल / Mr. Adarsh Kishor Agarwal,general,फ़ोन / Phone: 7026061234 / 1800-258-5956,,गो डिजिट जनरल इंश्योरेंस लिमिटेड Go Digit General Insurance Limited,,,सुश्री जसलीन कोहली Ms. Jasleen Kohli,,7,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.godigit.com,https://www.godigit.com
"एचडीएफसी हाउस, पहली मंजिल, 165-166, बैकबे रिक्लेमेशन, एच.टी.पारेख मार्ग, चर्चगेट, मुंबई-400020 HDFC House,1st Floor,165-166, Backbay Reclamation, H.T.Parekh Marg, Churchgate, Mumbai-400020",श्री अंशुल मित्तल Mr. Anshul Mittal,general,फ़ोन / Phone: +91 22-66383600 फैक्स / Fax No.: +91 22-66383699,,एचडीएफसी एर्गो जनरल इंश्योरेंस कंपनी लिमिटेड HDFC ERGO General Insurance Company Limited,,,श्री अनुज त्यागी Mr.Anuj Tyagi,,8,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.hdfcergo.co,https://www.hdfcergo.co
"आईसीआईसीआई लोम्बार्ड हाउस, 414, वीर सावरकर मार्ग सिद्धिविनायक मंदिर के पास, प्रभादेवी मुंबई 400025, भारत ICICI Lombard House, 414, Veer Savarkar Marg Near Siddhivinayak Temple, Prabhadevi Mumbai 400025, India",श्री प्रसून कुमार सरकार Mr. Prasun Kumar Sarkar,general,फ़ोन / Phone: 1800 2666 फैक्स / Fax: 022 - 61961323,,आईसीआईसीआई लोम्बार्ड जनरल इंश्योरेंस कंपनी लिमिटेड ICICI LOMBARD General Insurance Company Limited,,,श्री संजीव मंत्री Mr. Sanjeev Mantri,,9,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.icicilombard.com,https://www.icicilombard.com
"इफको टावर II, चौथी और पांचवीं मंजिल, प्लॉट नंबर 3, सेक्टर 29, गुरुग्राम- 122001 IFFCO Tower II, 4th & 5th Floor, Plot No. 3,Sector 29, Gurugram- 122001",सुश्री ईशा खेड़ा Ms. Isha Khera,general,"फ़ोन / Phone: 0124-2850100 फैक्स / Fax: +91-0124-2577923,2577924",,इफको टोकियो जनरल इंश्योरेंस कंपनी लिमिटेड IFFCO TOKIO General Insurance Company Limited,,,श्री एच. ओ सूरी Mr. H. O Suri,,10,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.iffcotokio.co.in,https://www.iffcotokio.co.in
"यूनिट नं. 401, चौथी मंजिल, सिल्वर मेट्रोपोलिस, जय कोच कंपाउंड, ऑफ वेस्टर्न एक्सप्रेस हाईवे, गोरेगांव (पूर्व), मुंबई- 400063 Unit no. 401, 4th Floor, Silver Metropolis, Jai Coach Compound, Off Western Express Highway, Goregaon (East), Mumbai- 400063",श्री मेहुल शाह Mr. Mehul Shah,general,फ़ोन / Phone No - 02242858601,,ज्यूरिख कोटक जनरल इंश्योरेंस कंपनी (इंडिया) लिमिटेड (पहले कोटक महिंद्रा जनरल इंश्योरेंस कंपनी लिमिटेड के नाम से जाना जाता था) Zurich Kotak General Insurance Company (India) Limited (formerly known as Kotak Mahindra General Insurance Company Limited),,,श्री आलोक अग्रवाल Mr. Alok Agarwal,,11,https://irdai.gov.in/list-of-general-insurers,वेब / Web: http://www.zurichkotak.com,http://www.zurichkotak.com
"413, चौथी मंजिल, माई होम टाइकून बिल्डिंग, कुंदन बाग, बेगमपेट, हैदराबाद - 500016 413, 4th Floor, My Home Tycoon Building, Kundan Bagh, Begumpet, Hyderabad - 500016",श्री पीयूष जैन Mr. Piyush Jain,general,फ़ोन / Phone: 04023409918,,क्षेमा जनरल इंश्योरेंस लिमिटेड Kshema General Insurance Limited,,,श्री व्यास कृष्ण बुरुगुपल्ली Mr. Vyasa Krishna Burugupalli,,12,https://irdai.gov.in/list-of-general-insurers,वेब / Website: www.kshema.co,https://www.kshema.co
"यूनिट 1501 और 1502, 15वीं मंजिल, टॉवर 2, वन इंटरनेशनल सेंटर, सेनापति बापट मार्ग, प्रभादेवी, मुंबई - 400013 Unit 1501 & 1502, 15th floor, Tower 2, One International Center, Senapati Bapat Marg, Prabhadevi, Mumbai – 400013",श्री रयान समरतुंगा Mr. Ryan Samaratunga,general,फ़ोन / Phone: 1800-266-5844,,लिबर्टी जनरल इंश्योरेंस लिमिटेड Liberty General Insurance Limited,,,श्री पराग वेद Mr. Parag Ved,,13,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.libertyinsurance.in,https://www.libertyinsurance.in
"यूनिट नंबर 1बी और 2बी, दूसरी मंजिल, इक्विनॉक्स बिजनेस पार्क, टॉवर - 3, एलबीएस मार्ग, कुर्ला (पश्चिम), मुंबई - 400070 Unit No. 1B & 2B, 2nd floor, Equinox Business Park, Tower – 3, LBS Marg, Kurla (West), Mumbai – 400070",श्री शिवेन्द्र त्रिपाठी Mr. Shivendra Tripathi,general,फ़ोन / Phone: 022- 67284800,,मैग्मा जनरल इंश्योरेंस लिमिटेड Magma General Insurance Limited,,,श्री राजीव कुमारस्वामी Mr. Rajive Kumaraswami,,14,https://irdai.gov.in/list-of-general-insurers,वेब / Web: https://www.magmainsurance.com/,https://www.magmainsurance.com/
"परिसर नं.18-0374, प्लॉट नं.सीबीडी-81, न्यू टाउन, कोलकाता-700 156 (09/08/2023 से प्रभावी) Premises No.18-0374, Plot No.CBD-81, New Town, Kolkata-700 156 (effective from 09/08/2023)",श्री अशोक कुमार लाहोटी Mr.Ashok Kumar Lahoty,general,फ़ोन / Phone: 033-22831705 फैक्स / Fax: 033-22831740,,नेशनल इंश्योरेंस कंपनी लिमिटेड National Insurance Company Limited,,,श्रीमती राजेश्वरी सिंह मुनि Ms. Rajeshwari Singh Muni,,15,https://irdai.gov.in/list-of-general-insurers,वेब / Web: https://nationalinsurance.nic.co.in,https://nationalinsurance.nic.co.in
"वैष्णवी टेक स्क्वायर, 7वीं मंजिल, इबल्लूर गांव, बेगुर होबली, बेंगलुरु, कर्नाटक- 560102 Vaishnavi Tech Square, 7th Floor, Iballur Village, Begur Hobli, Bengaluru, Karnataka- 560102",श्री शांतनु गौड़ Mr Shantanu Gaur,general,फ़ोन / Phone: 18001230004,,नवी जनरल इंश्योरेंस लिमिटेड Navi General Insurance Limited,,,श्री वैभव गोयल Mr.Vaibhav Goyal,,16,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.naviinsurance.com,https://www.naviinsurance.com
"रहेजा क्यूबीई जनरल इंश्योरेंस कंपनी लिमिटेड ग्राउंड फ्लोर, पी एंड जी प्लाजा, कार्डिनल ग्रेसियस रोड, चकला, अंधेरी (पूर्व), मुंबई - 400099Raheja QBE General Insurance Co. Ltd. Ground Floor, P&G Plaza, Cardinal Gracious Road, Chakala, Andheri (East),Mumbai - 400099",निखिल कामदार / Nikhil Kamdar,general,फ़ोन / Phone: 022- 4231 3888 Fax : 022-4231 3777,,रहेजा क्यूबीई जनरल इंश्योरेंस कंपनी लिमिटेड Raheja QBE General Insurance Co. Ltd.,,,श्री राजीव डोगरा Mr. Rajeev Dogra,,17,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.rahejaqbe.com,https://www.rahejaqbe.com
"रिलायंस जनरल इंश्योरेंस कंपनी लिमिटेड, 6वीं मंजिल, ओबेरॉय कॉमर्ज, इंटरनेशनल बिजनेस पार्क, ओबेरॉय गार्डन सिटी, ऑफ वेस्टर्न एक्सप्रेस हाईवे, गोरेगांव (पूर्व), मुंबई - 400063 Reliance General Insurance Company Limited, 6th Floor, Oberoi Commerz, International Business Park, Oberoi Garden City, Off Western Express Highway, Goregaon (East), Mumbai – 400063",श्री ए वी कार्तिकेयन Mr. A V Karthikeyan,general,फ़ोन / Phone: 022-33031000 फैक्स / Fax : 022-33034662,,रिलायंस जनरल इंश्योरेंस कंपनी लिमिटेड Reliance General Insurance Company Limited,,,श्री राकेश जैन Mr. Rakesh Jain,,18,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.reliancegeneral.co.in,https://www.reliancegeneral.co.in
"""विश्रांति मेलाराम टावर्स"", नंबर 2/319, राजीव गांधी सलाई (ओएमआर), करापक्कम, चेन्नई - 600097 ""Vishranthi Melaram Towers"", No.2/319, Rajiv Gandhi Salai (OMR), Karapakkam, Chennai - 600097",श्री ए वी रामानन Mr. A V Ramanan,general,फ़ोन / Phone: 044-71177117,,रॉयल सुंदरम जनरल इंश्योरेंस कंपनी लिमिटेड Royal Sundaram General Insurance Company Limited,,,श्री वेदनारायणन Mr. Vedanarayanan,,19,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.royalsundaram.in,https://www.royalsundaram.in
"फुलक्रम बिल्डिंग, 9वीं मंजिल, ए & बी विंग, सहार रोड, अंधेरी (पूर्व), मुंबई 400099 Fulcrum Building, 9th Floor, A & B wing, Sahar Road, Andheri (East), Mumbai 400099",श्री पुश्कर देओधर Mr. Pushkar Deodhar,general,फ़ोन / Phone no : +91 22 4241 2000,,एसबीआई जनरल इंश्योरेंस कंपनी लिमिटेड SBI General Insurance Company Limited,,,श्री नवीन चंद्रा झा Mr. Naveen Chandra Jha,,20,https://irdai.gov.in/list-of-general-insurers,वेब / Web : www.sbigeneral.in,https://www.sbigeneral.in
"ई-8, ईपीआईपी, रीको औद्योगिक क्षेत्र, सीतापुरा, जयपुर - 302022 (राजस्थान) E-8, EPIP, RIICO Industrial Area, Sitapura, Jaipur - 302022 (Rajasthan)",श्री सौरव रॉय Mr. Sourav Roy,general,"फ़ोन / Phone: +91-141-4828400, 4951111, 3996700 फैक्स / Fax: +91-141-2770692 / 93",,श्रीराम जनरल इंश्योरेंस कंपनी लिमिटेड Shriram General Insurance Company Limited,,,श्री अनिल कुमार अग्रवाल Mr. Anil Kumar Aggarwal,,21,https://irdai.gov.in/list-of-general-insurers,वेब / Web: Address: www.shriramgi.com,https://www.shriramgi.com
"पेनिनसुला बिजनेस पार्क, टॉवर ए, 15वीं मंजिल, जीके मार्ग, लोअर परेल, मुंबई - 400013 Peninsula Business Park, Tower A, 15th Floor, G.K. Marg, Lower Parel, Mumbai – 400013",श्री सुप्रियो चाकी Mr.Supriyo Chaki,general,फ़ोन / Phone: 022-66699696,,टाटा एआईजी जनरल इंश्योरेंस कंपनी लिमिटेड Tata AIG General Insurance Company Limited,,,श्री अमित एस गणोरकर Mr.Amit S.Ganorkar,,22,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.tataaig.com,https://www.tataaig.com
"87, एमजी रोड, फोर्ट, मुंबई, महाराष्ट्र - 400 001 87, M.G Road, Fort, Mumbai, Maharashtra – 400 001",श्री शरद रामनारायणन Mr Sharad Ramnarayanan,general,फ़ोन / Phone: 022-22708100 फैक्स / Fax: 022-22700470,,द न्यू इंडिया एश्योरेंस कंपनी लिमिटेड The New India Assurance Company Limited,,,श्रीमती गिरिजा सुब्रमण्यन Mrs. Girija Subramanian,,23,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.newindia.co.in,https://www.newindia.co.in
"द ओरिएंटल इंश्योरेंस कंपनी लिमिटेड, ""ओरिएंटल हाउस"", ए-25/27, आसफ अली रोड, नई दिल्ली-I 110 002 The Oriental Insurance Company Limited,“Oriental House”, A-25/27, Asaf Ali Road, New Delhi-I 110 002",श्री रोहित सिंघल Mr. Rohit Singhal,general,"फ़ोन / Phone: 011-2326 5024, 2327 9221",,ओरिएंटल इंश्योरेंस कंपनी लिमिटेड The Oriental Insurance Company Limited,,,सुश्री रश्मि बाजपेयी (ईडी) और श्री अमित मिश्रा (ईडी)रंजन सिंह Mr Rashmi Bajpai (ED) & Mr.Amit Mishra (ED),,24,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.orientalinsurance.org.in,https://www.orientalinsurance.org.in
"नंबर 24, व्हाइट्स रोड, चेन्नई -600014 No.24, Whites Road, Chennai -600014",श्री रामनाथ वेंकट भागवत / Mr. Ramnath Venkat Bhagavath,general,फ़ोन / Phone : 044-28520958/28525275 फैक्स / Fax: 044-28525280,,यूनाइटेड इंडिया इंश्योरेंस कंपनी लिमिटेड United India Insurance Company Limited,,,श्री भूपेश सुशील राहुल Mr. Bhupesh Sushil Rahul,,25,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.uiic.co.in,https://www.uiic.co.in
"यूनिट नंबर 103, पहली मंजिल, आकृति स्टार, एमआईडीसी , अंधेरी (पूर्व), मुंबई-400093, महाराष्ट्र Unit No.103, 1st Floor, Ackruti Star, MIDC, Andheri (East), Mumbai-400093, Maharashtra",श्री विकास गर्ग Mr.Vikas Garg,general,फ़ोन / Phone: 022-41659800/ 41659900,,यूनिवर्सल सोम्पो जनरल इंश्योरेंस कंपनी लिमिटेड Universal Sompo General Insurance Company Limited,,,श्री शरद माथुर Mr.Sharad Mathur,,26,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.universalsompo.com,https://www.universalsompo.com
"दूसरी मंजिल, टॉवर 3, विंग बी, कोहिनूर सिटी, किरोल रोड, कुर्ला (पश्चिम) मुंबई सिटी एमएच, 400070 2nd floor, Tower 3, Wing B, Kohinoor City, Kirol Road, Kurla (west) Mumbai City MH, 400070",सुश्री तान्या चक्रवर्ती Ms. Tania Chakrabarti,general,फ़ोन / Phone : 1800 12000,,ज़ूनो जनरल इंश्योरेंस लिमिटेड (पूर्व में एडलवाइस जनरल इंश्योरेंस कंपनी लिमिटेड के नाम से जाना जाता था) Zuno General Insurance Ltd. (formerly known as Edelweiss General Insurance Company Limited),,,सुश्री शुभदर्शिनी घोष Ms. Shubhdarshini Ghosh,,27,https://irdai.gov.in/list-of-general-insurers,वेब / Web: www.hizuno.com,https://www.hizuno.com
,,general,,,"भारती एक्सा जनरल इंश्योरेंस कंपनी लिमिटेड (3 सितंबर, 2021 से आईसीआईसीआई लोम्बार्ड जनरल इंश्योरेंस कंपनी लिमिटेड के साथ विलय) Bharti Axa General Insurance Co. Ltd (Merged with ICICI Lombard General Insurance Co. Ltd effective from 3rd September, 2021)",,,,,28,https://irdai.gov.in/list-of-general-insurers,,
,,general,,,,,,,,29,https://irdai.gov.in/list-of-general-insurers,,
